"inj number"	"Name"	"samplenumber"	"weight (mg)"	"color"	"variety"	"location"	"year"	"species"	"preparation method"	"stage"	"plant"	"3-OH-benzaldehyde"	"anthranilic acid"	"4-aminobenzoic acid"	"p-hydroxybenzoic acid"	"Cinnamic acid"	"vanillin"	"acetovanillone"	"vanillic acid"	"benzoic acid"	"gallic acid"	"2,6-diOH-benzoic acid"	"2,5-diOH-benzoic acid"	"protocatechuic acid"	"methyl gallate"	"syringaldehyde"	"syringic acid"	"methyl anthranilate"	"ellagic acid"	"umbelliferone"	"esculetin"	"daphnetin"	"scopoletin"	"esculin"	"fraxin"	"p-coumaric acid"	"m-coumaric acid"	"caffeic acid"	"ferulic acid"	"sinapic acid"	"caftaric acid"	"neochlorogenic acid"	"cryptochlorogenic acid"	"chlorogenic acid"	"1,3-dicaffeoylquinic acid"	"coniferyl alcohol"	"sinapyl alcohol"	"fertaric acid"	"t-coutaric acid"	"raspberry ketone"	"cis-resveratrol"	"trans-piceid"	"cis-piceid"	"astringin"	"isorhapontin"	"phloretin"	"phlorizin"	"trilobatin"	"morin"	"luteolin"	"luteolin-7-O-Glc"	"orientin"	"apigenin-7-glc"	"naringenin"	"naringenin-7-glucoside"	"hesperitin"	"catechin"	"epicatechin"	"epigallocatechin"	"gallocatechin"	"epicatechin gallate"	"procyanidin A2"	"procyanidin B1"	"procyanidin B2 + B4"	"procyanidin B3"	"kaempferol "	"quercetin"	"taxifolin"	"isorhamnetin"	"myricetin"	"laricitrin"	"syringetin"	"quercetin-3-sulfate"	"quercetin-3-Rha"	"kaempferol-3-Glc"	"myricitrin"	"quercetin-3-Glc"	"quercetin-3-Gal"	"quercetin-4-Glc"	"isorhamnetin-3-Glc"	"quercetin-3-Glc acetyl"	"syringetin-3-Glc+syringetin-3-Gal"	"kaempferol-3-rutinoside"	"quercetin-3-Glc-Ara"	"rutin"	"isorhamnetin-3-rutinoside"	"quercetin-3,4-diglucoside"	"robinin"	"dihydrokaempferol"	"quercetin-3-glucuronide"	" kaempferol-3-glucuronide"
190	"Abliss-VG-stg5-Plant1"	165	200	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	1	0.0000	5.0240	0.0000	1.2760	0.5430	0.2920	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	86.2610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1690	0.0000	0.5740	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.4280	1.9260	0.0000	0.1060	1.3780	0.0000	0.1570	0.0900	0.0000	0.0000	0.0000	1.0740	0.2680	0.0000	0.0000	0.0000	0.0000	0.0000	0.1200	0.0000	0.0000	42.7190	276.6260	0.0000	0.0000	0.1810	0.0000	3.1310	539.2300	204.3400	0.0000	4.9740	0.8720	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3110	0.0000	4.1970	6.6620	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.9280	0.0000	0.6730	0.0000	0.0000	34.1340	1.7760
153	"Abliss-VG-stg5-Plant2"	166	150	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	2	0.0000	0.0440	0.0000	1.0827	0.6067	0.0933	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	116.2413	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2053	0.1293	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.5040	3.3880	0.0000	0.0000	8.4333	0.0000	0.1667	0.1133	0.0000	0.0000	0.0000	0.5427	0.2693	0.0000	0.0000	0.0000	0.0000	0.0000	0.1733	0.8360	0.0000	48.8893	404.8840	0.0000	0.0000	0.2867	0.0000	1.3307	706.6453	201.2547	0.0000	4.7640	0.1813	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8373	0.0000	4.8600	6.3453	0.1507	0.0000	0.0000	0.0000	0.0000	0.0000	12.1547	0.1853	2.2440	0.0000	0.3000	36.6560	1.8693
117	"Abliss-VG-stg5-Plant3"	167	220	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	3	0.0000	2.6036	0.0000	0.5445	1.5191	0.1736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	177.3227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7109	0.1191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0718	1.6064	0.0000	0.0000	2.6836	0.0000	0.2864	0.0627	0.0000	0.0000	0.0000	0.8182	0.2227	0.0000	0.0000	0.0000	0.0000	0.0000	0.1645	0.0000	0.0000	31.1618	370.3118	0.0000	0.3209	0.3191	0.0000	0.8564	714.3355	202.7255	0.0000	4.9482	0.3909	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6218	0.0000	7.7227	6.7536	0.0000	0.1700	0.0000	0.0000	0.5909	0.0000	10.4909	0.0573	1.9282	0.0000	0.0000	56.2809	3.9855
130	"Abliss-VG-stg5-Plant4"	168	150	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	4	0.0000	0.3147	0.0000	0.0000	0.4520	0.1667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	116.8293	0.0000	0.0000	0.0000	0.0000	0.0893	0.0000	0.2333	0.0000	0.8840	0.1867	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.8973	3.7573	0.0000	0.0000	8.6987	0.0000	0.1800	0.1933	0.0000	0.0000	0.0000	0.8947	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1187	0.0000	0.0000	50.8013	382.7120	0.0000	0.3907	0.3253	0.0000	2.5520	667.4800	221.6333	0.0000	4.8400	0.7213	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3973	0.0000	3.8227	8.4893	0.0000	0.1640	0.0000	0.0000	0.0000	0.0000	14.3400	0.0547	2.7200	0.0000	0.0000	51.6400	3.2240
36	"Abliss-VG-stg5-Plant5"	169	320	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	5	0.0000	0.0488	0.0100	0.0000	0.0925	0.0650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.4850	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6094	0.1438	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8275	1.3263	0.0000	0.0000	0.8681	0.0000	0.0806	0.0506	0.0000	0.0000	0.0000	0.4363	0.1569	0.0000	0.0000	0.0000	0.0000	0.0000	0.0538	0.0000	0.0000	11.4294	140.6056	0.0000	0.0000	0.0894	0.0000	1.3275	289.3681	62.8581	0.0000	1.6331	0.1063	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2419	6.6756	0.0000	0.0669	0.0000	0.0000	0.0575	0.0000	4.6238	0.0000	0.4813	0.0000	0.0000	6.8231	0.4275
77	"Abliss-VG-stg5-Plant6"	170	260	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	6	0.0000	4.1662	0.0369	0.0000	0.7246	0.2431	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	91.7385	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2054	0.0000	0.3700	0.1454	0.6523	0.0000	0.0000	0.0000	0.0000	0.0000	1.7685	2.7254	0.0000	0.0708	2.3800	0.0000	0.1469	0.1669	0.0000	0.0000	0.0000	0.5092	0.5585	0.0000	0.0000	0.0000	0.0000	0.0000	0.1608	0.0000	0.0000	23.8500	283.9854	0.0000	0.0000	0.2962	0.0000	0.5377	526.3338	168.1385	0.0000	2.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3262	1.7723	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.4746	0.0000	0.5715	0.0000	0.0000	6.1623	0.0000
8	"Abliss-VG-stg5-Plant7"	171	200	"R"	"Abliss"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	7	0.0000	0.7220	0.0420	0.0000	0.7300	0.2380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	165.7020	0.0000	0.0000	0.0000	0.0000	0.0550	0.0000	0.0000	0.0000	1.0390	0.2260	0.4440	0.0000	0.0000	0.0000	0.0000	0.0000	1.9690	3.2780	0.0000	0.0000	3.6280	0.0000	0.2370	0.1960	0.0000	0.0000	0.0000	0.7450	0.2090	0.0000	0.0000	0.0000	0.0000	0.0000	0.1650	0.0000	0.0000	31.9720	291.3480	0.0000	0.0000	0.4720	0.0000	1.9380	668.3760	181.0940	0.0000	3.6960	0.2170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0500	3.7230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.5780	0.0520	0.3960	0.0000	0.5530	28.7060	1.3110
15	"Her-VG-stg5-Plant1"	155	280	"R"	"Her"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	1	0.0000	0.1093	0.0121	0.0000	0.1321	0.2871	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	204.4586	0.0000	0.0000	0.0000	0.0000	0.1221	0.0000	0.0000	0.0000	1.4129	0.6364	1.0743	0.0000	0.0000	0.0000	2.2343	0.0000	15.0779	9.5107	0.0000	0.0643	3.8971	0.0000	0.2571	0.1643	0.0000	0.0000	0.0000	0.7407	0.4693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0579	0.4214	0.0000	3.9757	284.2407	0.0000	0.3864	0.2686	0.0000	1.4957	638.6743	90.3743	0.0000	2.8614	0.1407	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3043	0.0000	24.7764	1.3157	0.5329	0.4143	0.1857	0.0000	0.0000	0.0000	0.0000	0.0000	13.2843	0.0000	0.1014	152.7800	14.3293
68	"Her-VG-stg5-Plant10"	164	150	"R"	"Her"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	10	0.0000	0.1960	0.0000	0.4627	0.1893	0.3920	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	328.1427	0.1440	0.0000	0.0000	0.0000	0.1293	0.0000	0.2520	0.0000	1.4760	0.1653	0.0000	0.0000	0.0000	0.0000	2.9920	0.0000	4.6693	4.8067	0.0000	0.0000	0.6787	0.0000	0.1573	0.0920	0.0000	0.0000	0.0000	0.7773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0947	0.0000	0.0000	14.9347	460.0693	0.0000	0.4573	0.4533	0.0000	0.0000	859.9827	111.8907	0.0000	3.0733	0.2827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8373	0.0000	19.5187	0.8373	0.3360	0.1667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8867	0.0000	0.0000	158.8253	21.0467
46	"Her-VG-stg5-Plant2"	156	200	"R"	"Her"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	2	0.0000	0.0280	0.0000	0.0000	0.0000	0.2440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	225.7090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2000	0.0000	1.6710	0.5800	0.9740	0.0000	0.0000	0.0000	2.0620	0.0000	5.5670	6.5050	0.0000	0.0000	2.6820	0.0000	0.2710	0.2130	0.0000	0.0000	0.0000	0.3660	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	315.8380	0.0000	0.4130	0.4080	0.0000	0.6170	630.0010	80.1080	0.0000	2.7980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1010	0.0000	20.3230	1.5230	0.5200	0.3510	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.3610	0.0000	0.0000	107.9120	8.0670
